ID,year,place,sowing,varietyID,variety,block,plot,ind,DryWeight_Leaves_g,DryWeight_Shoot_g,FreshWeight_Shoot_g,FreshWeight_Leaves_g,GrowthStage,NumberOfNodes,NumberOfTillers,PlantHeight_cm,TillerLength_cm
119,2019,Tottori,Jul,2158,E71-158,RC,30,3,NA,79.08,276.36,NA,4,8,15,65,27
120,2019,Tottori,Jul,2158,E71-158,RC,30,4,NA,NA,NA,NA,NA,NA,NA,35,NA
121,2019,Tottori,Jul,2049,E71-049,RC,31,1,NA,NA,NA,NA,NA,NA,NA,61,NA
122,2019,Tottori,Jul,2049,E71-049,RC,31,2,22.82,44.05,137.91,61.69,3,5,13,54,24
123,2019,Tottori,Jul,2049,E71-049,RC,31,3,NA,40.15,133.65,NA,4,6,13,57,24
124,2019,Tottori,Jul,2049,E71-049,RC,31,4,NA,NA,NA,NA,NA,NA,NA,54,NA
125,2019,Tottori,Jul,2184,E71-184,RC,32,1,NA,NA,NA,NA,NA,NA,NA,53,NA
126,2019,Tottori,Jul,2184,E71-184,RC,32,2,34.3,66.81,217.79,95.83,4,8,17,58,32
127,2019,Tottori,Jul,2184,E71-184,RC,32,3,NA,63.1,223.84,NA,4,7,13,59,32
128,2019,Tottori,Jul,2184,E71-184,RC,32,4,NA,NA,NA,NA,NA,NA,NA,57,NA
129,2019,Tottori,Jul,2090,E71-090,RC,33,1,NA,NA,NA,NA,NA,NA,NA,21,NA
130,2019,Tottori,Jul,2090,E71-090,RC,33,2,29.98,46.19,154.76,81.74,5.5,8,14,31,11
131,2019,Tottori,Jul,2090,E71-090,RC,33,3,NA,12.51,39.52,NA,4,7,10,27,15
132,2019,Tottori,Jul,2090,E71-090,RC,33,4,NA,NA,NA,NA,NA,NA,NA,47,NA
133,2019,Tottori,Jul,2144,E71-144,RC,34,1,NA,NA,NA,NA,NA,NA,NA,44,NA
134,2019,Tottori,Jul,2144,E71-144,RC,34,2,24.64,50.6,172.21,73.64,5,7,10,46,10
135,2019,Tottori,Jul,2144,E71-144,RC,34,3,NA,48.56,169.86,NA,5,6,13,46,10
136,2019,Tottori,Jul,2144,E71-144,RC,34,4,NA,NA,NA,NA,NA,NA,NA,45,NA
137,2019,Tottori,Jul,2014,E71-014,RC,35,1,NA,NA,NA,NA,NA,NA,NA,40,NA
138,2019,Tottori,Jul,2014,E71-014,RC,35,2,29.87,56.25,188.76,81.95,5,7,10,54,17
139,2019,Tottori,Jul,2014,E71-014,RC,35,3,NA,45.5,138.97,NA,4.5,7,9,52,15
140,2019,Tottori,Jul,2014,E71-014,RC,35,4,NA,NA,NA,NA,NA,NA,NA,44,NA
141,2019,Tottori,Jul,2099,E71-099,RC,36,1,NA,NA,NA,NA,NA,NA,NA,62,NA
