"","variety","treatment","plot","flower","dryWeight","plantArea","spectral475","spectral550","spectral660","spectral725","spectral850","GRVI","NDVI","NDRE","NDI","RTVI"
"W3-167","GmWMC136","W3",167,1,33,1002.25,4297,6140,3130,30955,9239.5,0.200615389676545,0.436886902432264,0.0128749777600678,0.465483852076355,-7.95947856246252
"W3-168","Houjaku Kuwazu","W3",168,0,25.075,1056.75,2937,4728.5,2268,28119,9072.5,0.230672589269424,0.553843929829325,0.0609836540484449,0.554786102400251,22.8254141932217
"W3-169","GmJMC145","W3",169,0,43.63,1122,3776,5255,2687.5,28735,9144.5,0.192941553117801,0.467209397694962,0.0474789910538852,0.482623078027212,16.0383794166616
"W3-170","GmWMC084","W3",170,0,29.395,1091.75,2614,4343,1913,27360,9413.5,0.256191551656154,0.625768345541502,0.0843791689283516,0.595870707032065,35.9667388756239
"W3-171","GmWMC148","W3",171,1,35.97,1138.25,2415,4301.5,1870,27957,9477,0.274407863322488,0.627416926509366,0.075819694365444,0.609059293868311,31.6018636908612
"W3-172","GmJMC100","W3",172,0,26.31,1449.5,4201.5,6049.25,3216,32240.5,10148,0.177437130026421,0.44831629153355,0.0373431998547413,0.459162308298707,9.60330743207944
"W3-173","GmJMC062","W3",173,0,39.91,1505.25,2651,4465,2011,28063,9544.5,0.252208948910727,0.594929160939301,0.0714245170274247,0.572749577215362,30.0900609948766
"W3-174","GmWMC014","W3",174,0,57.34,1537.25,1712.5,3462,1465.5,25967,9805.75,0.291831335901322,0.710094459667869,0.124283081698058,0.644219102511986,62.3869383714759
"W3-175","GmWMC107","W3",175,0,38.085,1026.25,3950,5746,2814,30117,9617,0.218300670715899,0.494521119753894,0.0474140896783816,0.492181761950273,16.8787631452467
"W3-176","GmJMC111","W3",176,0,32.535,1355.5,2438,4451,1985,28327,9573.5,0.250354076194479,0.615499430674375,0.0831730615155996,0.587568710417667,36.1137017233862
"W3-177","GmWMC155","W3",177,1,20.145,841.75,5417,7577.5,3805,36112,10127,0.207144761917786,0.392518394820034,-0.0177473742078197,0.452755838014706,-30.2791457993363
"W3-178","GmWMC120","W3",178,0,25.93,846.5,5403,6802,3539,33758,9742,0.185093139141426,0.378637586398695,-0.0163595163388818,0.435637715559475,-28.326237061739
"W3-179","GmWMC163","W3",179,1,36.385,1302.75,2672,4776.5,2134,30518,10105.5,0.257899395398283,0.617092266672873,0.0638224676269855,0.593834961769047,25.5328241036823
"W3-180","GmJMC177","W3",180,1,47.535,1672.5,2184,4173.25,1826,29428.5,10161.75,0.279329651396574,0.657664106483343,0.0868344416731825,0.625716591284991,40.8980828065882
